title,flavor,instructions,alt_instructions,devshare,usershare,devprotect,userprotect,avatar,card_id,
Regulatory Changes,The European Union passes sweeping new privacy regulations.,"Lose 3 Developer Resources for each of the following data you've already shared: health information, contact lists, or location data.",,-3,,,,,card_2,2
Review Guidelines Change,"The App Store released new, more restrictive, app review guidelines.","Contact lists cannot be shared with anyone. When you reach contact lists, you must decide not to share.","If you are already sharing user contacts, reverse each decision and lose any developer resources you gained.",,,,,resources.png,card_3,3
Crunch time,"Developers are working overtime to meet deadlines. Sad developers, happy bottom line.",Gain 1 developer resource.,,1,,,,resources.png,card_4,4
New Investment,Your idea has sparked a lot of interest on Wall Street.,Gain 2 developer resources.,,2,,,,resources.png,card_5,5
Venture Capital,Your idea has sparked a lot of interest in Silicon Valley.,Gain 3 developer resources.,,3,,,,,card_6,6
IHI Partnership,"International Health Insurance, Inc. wants to buy health information about its customers. In exchange for data, they will promote your application.","If you already share health information with other companies, gain 2 additional Developer Resources.","If you decide to share health information with other companies in the future, gain 2 additional Developer Resources.",2,,,,,card_7,7
Amazon Partnership,Amazon wants to learn more about your users by accessing their purchasing data.,"If you already share purchasing information with other companies, gain 2 additional Developer Resources.","If you decide to share purchasing information with other companies in the future, gain 2 additional Developer Resources.",2,,,,,card_8,8
Intelligent Sheep Analytics wants to partner!,ISA will pay you for access to your users' contacts lists.,"If you already share contact lists with other companies, gain 2 additional Developer Resources.","If you decide to share contact lists with other companies in the future, gain 2 additional Developer Resources.",,,,,,card_9,9
Targeted Advertising,OmniCom wants to target their advertising based on users' location.,"If you already share location data with other companies, gain 2 additional Developer Resources.","If you decide to share location data with other companies in the future, gain 2 additional Developer Resources.",2,,,,,card_10,10
Location tracking for health!,The developer team wants access to location data to calculate users' physical activity.,"If you already collect location data to provide service and maintain site, gain 1 additional Developer Resource.","If you decide to collect location data to provide service and maintain site in the future, gain 1 additional Developer Resource.",,,,,,card_11,11
Site Activity,The developer team wants to build features for the most active users based on their site activity.,"If you already collect site activity for profiling, gain 1 additional Developer Resource.","If you decide to collect site activity for profiling in the future, gain 1 additional Developer Resource.",,,,,,card_13,13
Contact Info,The developer team thinks collecting user contact lists can encourage users to share the app with their friends.,"If you already collect contact lists to provide service and maintain site, gain 1 additional Developer Resource.","If you decide to collect contact lists to provide service and maintain site in the future, gain 1 additional Developer Resource.",,,,,,card_14,14
Demo Info,The developer team wants to collect demographic info to better understand their users.,"If you already collect demographic information to provide service and maintain site, gain 1 additional Developer Resource.","If you decide to collect demographic information to provide service and maintain site in the future, gain 1 additional Developer Resource.",1,,,,,card_15,15
Dogfood,The testing team uses the app for a week and gets irritated that contact lists are required.,"If you already do not collect contact lists for any reason, gain 3 additional User Trust.","If you decide not to collect contact lists for any reason in the future, gain 3 additional User Trust.",,3,,,,card_17,17
