title,flavor,instructions,alt_instructions,devshare,usershare,devprotect,userprotect,avatar,card_id,
Regulatory Changes,The European Union passes sweeping new privacy regulations.,"Past decision: Lose 3 developer resources for any of the following you've shared with anyone: health information, contact lists.",,-3,,,,,card_2,2
Guidelines Change,"The App Store released new, more restrictive, app review guidelines.",Past decision: Lose 3 developer resources if you shared contact lists with anyone.,"Future condition: Contact lists cannot be shared with anyone. When you reach contact lists, you must decide not to share.",-3,,,,resources.png,card_3,3
Crunch Time,"Developers are working overtime to meet deadlines. Sad developers, happy bottom line.",Gain 1 developer resource.,,1,,,,resources.png,card_4,4
New Investment,Your idea has sparked a lot of interest on Wall Street.,Gain 2 developer resources.,,2,,,,resources.png,card_5,5
Venture Capital,Your idea has sparked a lot of interest in Silicon Valley.,Gain 3 developer resources.,,3,,,,,card_6,6
IHI Partnership,"International Health Insurance wants to buy health information about its customers. In exchange, they will promote your application.",Past decision: Gain 2 developer resources if you shared health information with other companies.,Future condition: Sharing health information with other companies now earns 5 developer resources.,2,,,,,card_7,7
Amazon Partnership,Amazon wants to learn more about your users by accessing their purchasing information.,Past decision: Gain 2 developer resources if you shared purchasing information with other companies.,Future condition: Sharing purchasing information with other companies now earns 7 developer resources.,2,,,,,card_8,8
ISA Wants to Partner,Intelligent Sheep Analytics will pay you for access to your users' contacts lists.,Past decision: Gain 2 developer resources if you shared contact lists with other companies.,Future condition: Sharing contact lists with other companies now earns 5 developer resources.,2,,,,,card_9,9
Targeted Advertising,OmniCom wants to target their advertising based on users' location.,,Future condition: Sharing location data with other companies now earns 6 developer resources.,2,,,,,card_10,10
Location Tracking for Health,Management wants location data to calculate users' physical activity.,Past decision: Gain 1 developer resource if you collected location data to provide service and maintain site.,Future condition: Collecting location data to provide service and maintain site now earns 3 developer resources.,1,,,,,card_11,11
Site Activity,Management wants to build new features for the most active users based on their site activity.,Past decision: Gain 1 developer resource if you collected site activity for profiling.,Future condition: Collecting site activity for profiling now earns 3 developer resources.,1,,,,,card_13,13
Contact Info,Management thinks collecting user contact lists can encourage users to share the app with their friends.,Past decision: Gain 1 developer resource if you collected contact lists to provide service and maintain site.,Future condition: Collecting contact lists to provide service and maintain siten now earns 2 developer resources.,1,,,,,card_14,14
Demo Info,The developer team wants to collect demographic info to better understand their users.,Past decision: Gain 1 developer resource if you collected demographic information to provide service and maintain site.,,1,,,,,card_15,15
Dogfood,The internal testing team uses the app for a week and gets irritated that they have to give permission for their contact list to be collected.,Past decision: Gain 3 user trusts if you decided not collect contact lists for any reason.,Future condition: Deciding not to collect contact lists now earns 3 extra developer resources (in addition to what's written on the board). ,,3,,,,card_17,17
Reviews Are In,Reviewers want to know: do you really need to track site activity?,Past decision: Gain 3 user trusts if you decided not to collect site activity for any reason.,Future condition: Deciding not to collect site activity now earns 3 extra user trusts (in addition to what's written on the board). ,,3,,,,card_18,18
Polling Numbers,3 out of 5 users agree that you shouldn't have to provide demographic information to use the app.,Past decision: Gain 3 user trusts if you decided do not collect demographic information for any reason.,,,3,,,,card_19,19
Angry emails,Many users wrote to say they CANNOT EVEN with your sharing of their data.,Past decision: Lose 2 user trusts and 2 developer resources if you decided to share more than 3 types of data with other companies. ,,-2,-2,,,,card_20,20
Best App Policies Ever!,Your restraint sharing data is paying off.,Past decision: Gain 2 user trusts and 2 developer resources if you haven't shared any data with other companies.,,2,2,,,,card_21,21
R&D Team data needs.,The R&D team needs more data to figure out what health product to build next.,"Past decision: If you collected neither demographic information nor health information for profiling, change your decision about one and adjust your score accordingly. If you already collect either demographic information or health information for profiling, do nothing. ",,,,,,,card_22,22
Marketing's new campaign,"To better target the new marketing campaign, marketing wants purchasing information and contact lists.","Past decision: If you collected neither purchasing information or contact lists for marketing, change your decision about one and adjust your score accordingly. If you already collect either purchasing information or contact lists for marketing, gain 1 developer resource.",Future condition: Collecting purchasing information for marketing now earns 5 developer resources.,1,,,,,card_23,23
Legal is worried.,Legal is worried about potential policy issues raised by collecting health information.,Past decision: Gain 3 developer resources if you did not collect health information for any reason.,Future condition: Not collecting health information for any reason earns 3 extra developer resources (in addition to what's written on the board).,3,,,,,card_24,24
Legal Sees Future Lawsuits,Legal is worried that collecting contact lists might expose the company to lawsuits.,Past decision: Gain 1 developer resource if you did not collect contact lists for any reason.,Future condition: Not collecting contact lists for any reason earns 1 additional developer resource (in addition to what's written on the board).,1,,,,,card_25,25
CEO's Statement,The CEO gave a speech about your commitment to protecting the user.,Gain 1 Developer Resource if your team currently has more than 15 user trust points. ,,1,,,,,card_26,26
Partnership Problems,Promotion of your company's partnership with Int. Health Insurance has made users nervous.,Past decision: Lose 2 users trusts if you shared health information with other companies.,Future condition: Sharing health information with other companies now costs 6 user trusts.,,-2,,,,card_28,28
Tool creator folds,The creator of an outside analytic tool you use was sold. They had access to site activity data about your users. ,Past decision: Lose 2 user trusts if you shared site activity with other companies.,Future condition: Sharing site activity with other companies now costs 7 user trusts.,,-2,,,,card_29,29
